Software,Version,Release Date,Link to proof of Release Date or your Source (maybe confidence rating?),Notes
Processing,"""1.0"" - Rev 0162",24 Nov 2008,https://raw.githubusercontent.com/processing/processing/master/build/shared/revisions.txt,
,1.0.1 - Rev 0163,29 November 2008,,
,1.0.2 Rev 0164,21 February 2009,,
,1.0.3 Rev 0165,24 February 2009,,
,1.0.4 Rev 0166,31 May 2009,,
,1.0.5 Rev 0167,07 June 2009,,
,1.0.6 Rev 0168,12 August 2009,,
,1.0.7 Rev 0169,04 September 2009,,
,1.0.8 Rev 0170,18 October 2009,,
,1.0.9 Rev 0171,20 October 2009,,
,Rev 0172 - 0175,?,,
,Rev 0176,20 February 2010,,
,Rev 0177,21 February 2010,,
,Rev 0178,04 March 2010,,
,1.1 - Rev 0179,11 March 2010,,
,Rev 0180,15 March 2010,,
,Rev 0181,19 March 2010,,
,Rev 0182,29 March 2010,,
,Rev 0183,31 March 2010,,
,Rev 0184,14 April 2010,,
,Rev 0185,20 June 2010,,
,Rev 0186,26 June 2010,,
,Rev 0187,12 July 2010,,
,1.2 - Rev 188,13 July 2010,,
,1.2.1 - Rev 0189,14 July 2010,,
,-In progress....adding more when i can),,,
,,,,
,,,,
P5.js,0.2.22,21 July 2014,https://github.com/processing/p5.js/releases?after=0.3.4,Preliminary Alpha Release
,0.2.23,31 July 2014,,
,0.3.0,06 August 2014,,First Public Beta
,0.3.2,08 August 2014,,
,0.3.3,17 August 2014,,
,0.3.4,26 August 2014,,
,0.3.5,28 August 2014,,
,0.3.6,11 September 2014,,
,0.3.7,19 September 2014,,
,0.3.8,25 September 2014,,
,0.3.9,10 October 2014,,
,0.3.11,03 November 2014,,
,0.3.12,23 November 2014,,
,0.3.13,04 December 2014,,
,0.3.14,10 December 2014,,
,0.3.15,23 December 2014,,
,0.3.16,08 January 2015,,
,0.4.0,02 February 2015,,Major Release
,0.4.1,13 February 2015,,
,0.4.2,16 February 2015,,
,0.4.3,30 March 2015,,
,0.4.4,12 April 2015,,
,0.4.5,27 May 2015,,
,0.4.6,24 June 2015,,
,0.4.7,17 July 2015,,
,0.4.8,18 August 2015,,
,0.4.9,31 August 2015,,
,0.4.10,12 September 2015,,
,0.4.11,14 September 2015,,
,0.4.12,15 September 2015,,
,0.4.13,20 September 2015,,
,0.4.14,05 October 2015,,
,0.4.15,06 October 2015,,
,0.4.16,12 October 2015,,
,0.4.17,13 October 2015,,
,0.4.18,09 November 2015,,
,0.4.19,11 November 2015,,
,0.4.20,11 December 2015,,
,0.4.21,04 January 2016,,
,0.4.22,04 February 2016,,
,0.4.23,04 March 2016,,
,0.4.24,25 April 2016,,
,0.5.0,02 May 2016,,"Major Release, WebGL overhaul"
,0.5.1,10 June 2016,,
,0.5.2,16 June 2016,,
,0.5.3,17 August 2016,,
,0.5.4,01 October 2016,,
,0.5.5,05 December 2016,,
,0.5.6,03 January 2017,,
,0.5.7,08 February 2017,,
,0.5.8,25 March 2017,,
,0.5.9,10 May 2017,,
,0.5.10,18 May 2017,,
,0.5.11,01 June 2017,,
,0.5.12,11 August 2017,,
,0.5.13,25 August 2017,,
